frame_idx,x,y
815,490,448
816,492,448
817,495,447
818,493,444
819,493,432
820,490,422
821,486,415
822,483,412
823,656,423
824,805,437
825,730,394
826,750,359
827,708,360
828,672,363
829,655,370
830,646,373
831,642,374
832,706,291
833,704,247
834,695,204
835,680,192
836,676,188
837,674,177
838,674,179
839,670,186
840,703,124
841,609,136
842,642,170
843,655,176
844,660,176
845,663,172
846,569,281
847,571,295
848,576,314
849,584,344
850,585,355
851,584,360
852,585,367
853,585,372
854,582,386
855,0,450
856,28,452
857,72,463
858,81,488
859,26,506
860,35,506
861,47,504
862,49,504
863,57,504
864,73,510
865,423,475
866,707,341
867,701,346
868,717,345
869,751,341
870,778,344
871,829,365
872,236,334
873,614,346
874,497,339
875,601,345
876,628,347
877,639,348
878,640,347
879,1242,431
880,1036,387
881,941,372
882,890,365
883,1016,383
884,893,366
885,930,371
886,921,369
887,924,370
888,925,370
889,925,370
890,858,356
891,1108,395
892,831,331
893,833,319
894,833,317
895,705,345
896,637,451
897,636,481
898,412,493
899,429,498
900,261,487
901,308,537
902,395,527
903,428,515
904,421,509
905,458,504
906,484,508
907,535,521
908,259,498
909,70,504
910,172,509
911,249,497
912,319,486
913,193,496
914,129,543
915,949,523
916,854,580
917,942,592
918,863,584
919,856,579
920,844,552
921,829,537
922,827,538
923,820,546
924,822,544
925,829,538
926,843,526
927,851,516
928,852,511
929,725,517
930,726,513
931,724,501
932,816,471
933,824,462
934,861,459
935,845,456
936,799,450
937,764,444
938,768,445
939,824,455
940,810,467
941,898,476
942,954,467
943,965,469
944,965,469
945,866,449
946,549,392
947,342,477
948,342,477
949,104,452
950,468,493
951,360,480
952,476,494
953,477,494
954,477,494
955,477,494
956,477,494
957,477,494
958,655,452
959,664,442
960,671,435
961,554,417
962,552,474
963,549,571
964,643,473
965,683,362
966,684,341
967,633,335
968,636,336
969,645,337
970,670,340
971,674,340
972,680,334
973,682,333
974,685,334
975,686,334
976,690,336
977,693,336
978,698,337
979,589,476
980,583,550
981,584,555
982,611,544
983,626,521
984,631,516
985,629,513
986,622,512
987,608,510
988,600,510
989,555,531
990,557,530
991,559,533
992,561,537
993,550,565
994,895,429
995,868,432
996,859,435
997,796,469
998,784,477
999,773,475
1000,744,472
1001,726,469
1002,727,469
1003,725,469
1004,712,469
1005,763,440
1006,768,429
1007,762,422
1008,750,424
1009,748,422
1010,761,452
1011,763,447
1012,763,445
1013,410,388
1014,485,461
1015,514,543
1016,679,556
1017,721,528
1018,741,518
1019,985,536
1020,885,497
1021,810,444
1022,811,439
1023,810,440
1024,810,441
1025,808,438
1026,807,432
1027,833,433
1028,841,436
1029,845,434
1030,591,460
1031,721,617
1032,717,637
1033,697,636
1034,752,754
1035,755,722
1036,751,700
1037,716,686
1038,715,676
1039,718,666
1040,701,652
1041,697,575
1042,699,570
1043,708,565
1044,734,562
1045,661,403
1046,706,356
1047,722,366
1048,729,373
1049,843,358
1050,841,353
1051,829,362
1052,794,365
1053,782,368
1054,776,374
1055,482,396
1056,661,411
1057,666,431
1058,717,452
1059,781,412
1060,781,404
1061,779,402
1062,777,402
1063,776,404
1064,774,405
1065,767,414
1066,770,425
1067,771,400
1068,772,393
1069,774,392
1070,786,383
1071,792,383
1072,795,384
1073,798,386
1074,801,419
1075,774,418
1076,768,420
1077,762,428
1078,760,430
1079,758,432
1080,757,433
1081,756,436
1082,458,451
1083,489,472
1084,522,481
1085,508,478
1086,802,494
1087,834,469
1088,862,479
1089,1017,518
1090,1061,523
1091,1067,522
1092,1058,517
1093,1044,516
1094,628,554
1095,618,611
1096,614,617
1097,603,625
1098,561,629
1099,545,649
1100,537,652
1101,534,647
1102,536,636
1103,794,477
1104,781,445
1105,776,442
1106,744,448
1107,811,376
1108,790,371
1109,786,371
1110,783,369
1111,781,368
1112,780,367
1113,752,361
1114,744,359
1115,740,358
1116,739,358
1117,735,356
1118,731,355
1119,728,356
1120,435,491
1121,433,534
1122,431,573
1123,426,569
1124,424,562
1125,427,558
1126,408,557
1127,409,571
1128,427,568
1129,784,368
1130,784,360
1131,776,362
1132,784,367
1133,767,379
1134,715,398
1135,674,527
1136,899,513
1137,897,510
1138,897,472
1139,896,469
1140,655,517
1141,654,530
1142,871,522
1143,878,518
1144,870,514
1145,867,512
1146,859,507
1147,851,500
1148,846,498
1149,829,455
1150,807,466
1151,823,470
1152,825,468
1153,835,443
1154,455,476
1155,467,561
1156,471,564
1157,471,563
1158,832,503
1159,832,494
1160,832,492
1161,883,497
1162,886,496
1163,886,497
1164,885,497
1165,884,498
1166,884,498
1167,878,496
1168,871,489
1169,865,480
1170,862,476
1171,854,471
1172,852,471
1173,851,471
1174,851,471
1175,851,472
1176,851,474
1177,850,475
1178,851,479
1179,851,480
1180,853,481
1181,855,482
1182,862,482
1183,865,481
1184,865,481
1185,863,480
1186,861,479
1187,857,476
1188,854,476
1189,853,476
1190,740,570
1191,719,648
1192,704,651
1193,707,647
1194,569,426
1195,578,439
1196,588,420
1197,673,479
1198,680,473
1199,691,457
1200,701,441
1201,704,434
1202,706,428
1203,701,423
1204,697,414
1205,968,429
1206,963,416
1207,961,408
1208,531,414
1209,369,522
1210,368,559
1211,367,570
1212,366,577
1213,360,549
1214,364,531
1215,366,522
1216,365,515
1217,362,514
1218,412,527
1219,417,530
1220,416,531
1221,421,532
1222,422,533
1223,421,535
1224,832,476
1225,921,363
1226,919,351
1227,919,343
1228,1021,351
1229,1013,346
1230,1091,367
1231,1089,367
1232,546,366
1233,486,360
1234,636,401
1235,640,412
1236,607,411
1237,617,407
1238,560,404
1239,341,444
1240,341,508
1241,341,532
1242,345,540
1243,638,521
1244,699,371
1245,699,357
1246,696,351
1247,695,350
1248,696,341
1249,695,346
1250,698,347
1251,700,353
1252,701,354
1253,1017,395
1254,1013,381
1255,1010,371
1256,1011,367
1257,1039,366
1258,1039,362
1259,1039,359
1260,1038,357
1261,1041,356
1262,1095,369
1263,651,412
1264,427,414
1265,348,523
1266,348,545
1267,348,555
1268,350,566
1269,356,578
1270,357,582
1271,358,585
1272,681,447
1273,690,339
1274,690,321
1275,687,312
1276,681,313
1277,676,314
1278,673,306
1279,669,309
1280,940,446
1281,939,444
1282,959,440
1283,967,435
1284,968,432
1285,968,433
1286,968,434
1287,969,437
1288,868,438
1289,516,551
1290,523,567
1291,379,597
1292,391,620
1293,405,630
1294,407,631
1295,404,631
1296,399,628
1297,574,638
1298,740,497
1299,730,506
1300,748,468
1301,822,629
1302,817,619
1303,810,614
1304,828,623
1305,820,624
1306,807,629
1307,350,580
1308,358,571
1309,361,571
1310,362,571
1311,365,574
1312,429,582
1313,430,582
1314,431,582
1315,536,576
1316,649,581
1317,782,632
1318,791,608
1319,843,626
1320,848,622
1321,855,611
1322,854,607
1323,854,607
1324,853,606
1325,854,602
1326,856,600
1327,856,597
1328,855,596
1329,854,596
1330,853,597
1331,852,598
1332,852,598
1333,850,600
1334,849,601
1335,843,602
1336,843,602
1337,843,602
1338,613,584
1339,486,572
1340,399,587
1341,404,591
1342,406,591
1343,410,591
1344,411,591
1345,412,592
1346,593,583
1347,720,480
1348,724,475
1349,728,473
1350,790,474
1351,957,469
1352,931,416
1353,923,406
1354,969,409
1355,982,412
1356,906,411
1357,665,505
1358,423,570
1359,436,572
1360,445,564
1361,455,546
1362,746,527
1363,796,478
1364,810,441
1365,1288,516
1366,830,416
1367,827,439
1368,715,416
1369,742,343
1370,744,313
